art,datum,detail,ort,latitude,longitude
Hochwasser,15.11.2023,Hochwasser in der Südwestschweiz,Südwestschweiz,46.45929368,6.888751889
Hochwasser,22.09.2023,Starker Gewitterregen im Tessin und Graubünden,Tessin,46.3351913,8.7525902
Hochwasser,27.08.2023,Starker Gewitterregen im Tessin und Graubünden,Graubünden,46.6960615,9.6027351
Sturzflut 3,07.06.2023,Sturzflut bei Torricella-Crana (TI),Torricella-Crana,46.07374184,8.893509263
Sturzflut 2,07.05.2023,Sturzflut am Napf (BE),Napf,47.0040019,7.9399419
Sturzflut 3,08.09.2022,Sturzflut im Malcantone (TI),Malcantone,46.0503546,8.8840822
Sturzflut 1,26.08.2022,Sturzflut in Luzern (LU),Luzern,47.0505452,8.3054682
Sturzflut 3,26.08.2022,Sturzflut in Ebnat Kappel (SG),Ebnat Kappel,47.2635337,9.1233561
Hochwasser,19.08.2022,Starkregen entlang der östlichen Voralpen,östliche Voralpen,47.10487133,9.238975791
Sturzflut 3,07.08.2022,Sturzflut im Malcantone (TI),Malcantone,46.0503546,8.8840822
Sturzflut 2,05.08.2022,Sturzflut bei Château-dŒx (VD),Chateau-d'Oex,46.4739581,7.13056
Sturzflut 1,05.08.2022,Sturzflut bei Eglisau und Glattfelden (ZH),Glattfelden,47.559752,8.5008282
Sturzflut 1,04.07.2022,Sturzflut bei Kriens und Horw (LU),Horw,47.0185008,8.3107797
Sturzflut 2,04.07.2022,Sturzflut bei Schwende und Brülisau (AI),Brülisau,47.2970696,9.4561264
Sturzflut 2,04.07.2022,Sturzflut bei Schangnau (BE) mit Hochwasser der Emme,Schangau,46.82562316,7.864362173
Sturzflut 1,23.05.2022,Sturzflut in Luzern (LU),Luzern,47.0505452,8.3054682
Sturzflut 2,05.05.2022,Sturzflut bei Zell (ZH),Zell,47.448026,8.8227739
Hochwasser,29.12.2021,Starkregen und Hochwasser bei Leuggelbach (GL),Leuggelbach,46.9773749,9.0458271
Sturzflut 2,16.09.2021,Sturzflut bei Lyss und Aarberg (BE),Aarberg,47.0443346,7.2753004
Hochwasser,07.08.2021,Starke Gewitterregen in der Magadinoebene,Magiadinoebene,46.16535977,8.921595161
Hochwasser,27.07.2021,Starker Gewitterregen im Südtessin,Tessin,46.3351913,8.7525902
Sturzflut 1,26.07.2021,Sturzflut von Trimbach (SO) bis Stüsslingen (SO),Trimbach,47.3631152,7.9023314
Sturzflut 1,26.07.2021,Sturzfluten im Kanton Schwyz (SZ),Schwyz,47.0571976,8.7222073
Sturzflut 3,25.07.2021,Sturzflut bei Meierskappel (LU),Meierskappel,47.1239632,8.4435423
Sturzflut 2,25.07.2021,Sturzflut bei Wolhusen (LU),Wolhusen,47.0580138,8.0725617
Sturzflut 3,24.07.2021,"Sturzflut in Appenzell (AI), 30.1mm / 10 min.",Appenzell,47.3299506,9.4099311
Sturzflut 1,15.07.2021,Sturzflut in Schleitheim und Beggingen (SH),Beggingen,47.7666674,8.5363808
Hochwasser,19.07.2021,"Hochwasser Vierwaldstättersee, Thunersee, Bielersee, Neuenburgersee, Zürichsee",Waldenburg,47.3833615,7.7485063
Sturzflut 1,24.06.2021,Sturzflut bei Pfaffnau (LU),Pfaffnau,47.2273716,7.8984229
Sturzflut 2,23.06.2021,Sturzfluten von Waldenburg (BL) bis Zunzgen (BL),Waldenburg,47.3833615,7.7485063
Sturzflut 2,23.06.2021,Sturzflut in Villeret (BE),Villeret,47.1582838,7.0177694
Sturzflut 1,22.06.2021,Sturzflut in Cressier (NE),Cressier,46.8986683,7.1417574
Sturzflut 1,09.06.2021,Sturzflut bei Sattel (SZ),Sattel,47.0933842,8.6694322
Sturzflut 1,09.06.2021,Sturzflut bei Schüpfheim (LU),Schüpfheim,46.9517174,8.017953
Sturzflut 2,09.06.2021,Sturzflut Schwägalp (AR) bis Nesslau (SG),Nesslau,47.2226153,9.2020206
Sturzflut 1,09.06.2021,Sturzflut bei Schleitheim (SH),Schleitheim,47.7488818,8.4845902
Sturzflut 1,08.06.2021,Sturzflut bei Klingnau (AG),Klingnau,47.5810046,8.2500088
Sturzflut 2,08.06.2021,Sturzflut bei Wagenhausen (TG),Wagenhausen,47.6590751,8.8503702
Sturzflut 2,07.06.2021,Sturzflut auf der Nordseite des Ottenbergs bei Hugelshofen (TG) und Dotnacht (TG),Hugelshofen,47.598643,9.1152004
Sturzflut 1,07.06.2021,"Sturzfluten im Tösstal, Kollbrunn (ZH) bis Bauma (ZH)",Kollbrunn (ZH) ,47.4578738,8.7759968
Hochwasser,03.10.2020,Starker Gewitterregen im Tessin und am Simplon,Tessin,46.3351913,8.7525902
Hochwasser,30.08.2020,Ergiebige Niederschläge auf der Alpensüdseite und in der Ostschweiz,Alpensüdseite,46.53285834,8.608945434
Sturzflut 1,12.08.2020,Sturzflut auf der Alp Otteren (BE) und bei Zweisimmen (BE),Alp Otteren (BE),46.5428654,7.546689205
Sturzflut 2,02.08.2020,Sturzflut bei Basadingen (TG),Basadingen,47.6690315,8.7449691
Sturzflut 2,22.07.2020,Sturzflut bei Jaun (FR) und Schwarzsee (FR),Jaun,46.6113953,7.2761312
Sturzflut 1,02.07.2020,Sturzfluten von Malters (LU) bis Eschenbach (LU),Malters,47.0383996,8.1830555
