stationen,ort,jahr,niederschlag,lat,lon
AAF,Aadorf,1930,1318.2,47.5,8.9
AAF,Aadorf,1931,1189.3,47.5,8.9
AAF,Aadorf,1932,1025.6,47.5,8.9
AAF,Aadorf,1933,1122.6,47.5,8.9
AAF,Aadorf,1934,920.8,47.5,8.9
AAF,Aadorf,1935,1283.3,47.5,8.9
AAF,Aadorf,1936,1133.6,47.5,8.9
AAF,Aadorf,1937,1112,47.5,8.9
AAF,Aadorf,1938,1039.7,47.5,8.9
AAF,Aadorf,1939,1288.3,47.5,8.9
AAF,Aadorf,1940,1399,47.5,8.9
AAF,Aadorf,1941,1012.3,47.5,8.9
AAF,Aadorf,1942,1071.9,47.5,8.9
AAF,Aadorf,1943,828.6,47.5,8.9
AAF,Aadorf,1944,1184.3,47.5,8.9
AAF,Aadorf,1945,994.2,47.5,8.9
AAF,Aadorf,1946,1049.5,47.5,8.9
AAF,Aadorf,1947,941.1,47.5,8.9
AAF,Aadorf,1948,979.8,47.5,8.9
AAF,Aadorf,1949,685.9,47.5,8.9
AAF,Aadorf,1950,1189.9,47.5,8.9
AAF,Aadorf,1951,1107.3,47.5,8.9
AAF,Aadorf,1952,1287.5,47.5,8.9
AAF,Aadorf,1953,884.6,47.5,8.9
AAF,Aadorf,1954,1154.1,47.5,8.9
AAF,Aadorf,1955,1237.7,47.5,8.9
AAF,Aadorf,1956,1053.7,47.5,8.9
AAF,Aadorf,1957,985.3,47.5,8.9
AAF,Aadorf,1958,1312.9,47.5,8.9
AAF,Aadorf,1959,895.7,47.5,8.9
AAF,Aadorf,1960,1189.7,47.5,8.9
AAF,Aadorf,1961,1057,47.5,8.9
AAF,Aadorf,1962,1035.7,47.5,8.9
AAF,Aadorf,1963,1012.1,47.5,8.9
AAF,Aadorf,1964,1066.6,47.5,8.9
AAF,Aadorf,1965,1522,47.5,8.9
AAF,Aadorf,1966,1430.2,47.5,8.9
AAF,Aadorf,1967,1042.7,47.5,8.9
AAF,Aadorf,1968,1143.5,47.5,8.9
AAF,Aadorf,1969,1043.7,47.5,8.9
AAF,Aadorf,1970,1237.4,47.5,8.9
AAF,Aadorf,1971,955.2,47.5,8.9
AAF,Aadorf,1972,973.1,47.5,8.9
AAF,Aadorf,1973,915.7,47.5,8.9
AAF,Aadorf,1974,1159.3,47.5,8.9
AAF,Aadorf,1975,1132.1,47.5,8.9
AAF,Aadorf,1976,1032.2,47.5,8.9
AAF,Aadorf,1977,1205.2,47.5,8.9
AAF,Aadorf,1978,1305.7,47.5,8.9
AAF,Aadorf,1979,1326.5,47.5,8.9
AAF,Aadorf,1980,1108.9,47.5,8.9
AAF,Aadorf,1981,1325,47.5,8.9
AAF,Aadorf,1982,1255.9,47.5,8.9
AAF,Aadorf,1983,1036.9,47.5,8.9
AAF,Aadorf,1984,1081,47.5,8.9
AAF,Aadorf,1985,982.1,47.5,8.9
AAF,Aadorf,1986,1315.5,47.5,8.9
AAF,Aadorf,1987,1096.2,47.5,8.9
AAF,Aadorf,1988,1332.3,47.5,8.9
AAF,Aadorf,1989,1018.8,47.5,8.9
AAF,Aadorf,1990,1202.6,47.5,8.9
AAF,Aadorf,1991,934.8,47.5,8.9
AAF,Aadorf,1992,1160.8,47.5,8.9
AAF,Aadorf,1993,1065.7,47.5,8.9
AAF,Aadorf,1994,1240.6,47.5,8.9
AAF,Aadorf,1995,1479,47.5,8.9
AAF,Aadorf,1996,1093.9,47.5,8.9
AAF,Aadorf,1997,993.6,47.5,8.9
TAE,Aadorf / Tänikon,1970,1408.4,47.48333333,8.9
TAE,Aadorf / Tänikon,1971,1069.4,47.48333333,8.9
TAE,Aadorf / Tänikon,1972,1067.6,47.48333333,8.9
TAE,Aadorf / Tänikon,1973,1040.6,47.48333333,8.9
TAE,Aadorf / Tänikon,1974,1413.9,47.48333333,8.9
TAE,Aadorf / Tänikon,1975,1170.8,47.48333333,8.9
TAE,Aadorf / Tänikon,1976,1047.6,47.48333333,8.9
TAE,Aadorf / Tänikon,1977,1239.9,47.48333333,8.9
TAE,Aadorf / Tänikon,1978,1398.8,47.48333333,8.9
TAE,Aadorf / Tänikon,1979,1367.5,47.48333333,8.9
TAE,Aadorf / Tänikon,1980,1189.6,47.48333333,8.9
TAE,Aadorf / Tänikon,1981,1532,47.48333333,8.9
TAE,Aadorf / Tänikon,1982,1214.9,47.48333333,8.9
TAE,Aadorf / Tänikon,1983,992.9,47.48333333,8.9
TAE,Aadorf / Tänikon,1984,1131.6,47.48333333,8.9
TAE,Aadorf / Tänikon,1985,925,47.48333333,8.9
TAE,Aadorf / Tänikon,1986,1227.1,47.48333333,8.9
TAE,Aadorf / Tänikon,1987,1085.5,47.48333333,8.9
TAE,Aadorf / Tänikon,1988,1264.8,47.48333333,8.9
TAE,Aadorf / Tänikon,1989,1010.6,47.48333333,8.9
TAE,Aadorf / Tänikon,1990,1220.8,47.48333333,8.9
TAE,Aadorf / Tänikon,1991,999.9,47.48333333,8.9
TAE,Aadorf / Tänikon,1992,1153.3,47.48333333,8.9
TAE,Aadorf / Tänikon,1993,1168.5,47.48333333,8.9
TAE,Aadorf / Tänikon,1994,1274.5,47.48333333,8.9
TAE,Aadorf / Tänikon,1995,1428.4,47.48333333,8.9
TAE,Aadorf / Tänikon,1996,1075.5,47.48333333,8.9
TAE,Aadorf / Tänikon,1997,1005.3,47.48333333,8.9
TAE,Aadorf / Tänikon,1998,1162.8,47.48333333,8.9
TAE,Aadorf / Tänikon,1999,1419.2,47.48333333,8.9
TAE,Aadorf / Tänikon,2000,1127.7,47.48333333,8.9
TAE,Aadorf / Tänikon,2001,1582,47.48333333,8.9
TAE,Aadorf / Tänikon,2002,1358.2,47.48333333,8.9
TAE,Aadorf / Tänikon,2003,919.7,47.48333333,8.9
TAE,Aadorf / Tänikon,2004,1103.7,47.48333333,8.9
TAE,Aadorf / Tänikon,2005,1082.6,47.48333333,8.9
TAE,Aadorf / Tänikon,2006,1209.8,47.48333333,8.9
TAE,Aadorf / Tänikon,2007,1295.5,47.48333333,8.9
TAE,Aadorf / Tänikon,2008,1192,47.48333333,8.9
TAE,Aadorf / Tänikon,2009,1137.8,47.48333333,8.9
TAE,Aadorf / Tänikon,2010,1226.9,47.48333333,8.9
TAE,Aadorf / Tänikon,2011,969.9,47.48333333,8.9
TAE,Aadorf / Tänikon,2012,1293.2,47.48333333,8.9
TAE,Aadorf / Tänikon,2013,1134.2,47.48333333,8.9
